DNA Test ID,DNA Sample Timestamp,Beach,DNA Sample 1 Reading,DNA Sample 2 Reading,DNA Reading Mean,Culture Test ID,Culture Sample 1 Timestamp,Culture Sample 1 Reading,Culture Sample 2 Reading,Culture Reading Mean,Culture Note,Culture Sample Interval,Culture Sample 2 Timestamp,Latitude,Longitude,Location
,,Oak Street,,,,110887,5/31/12 0:00,38.4,39.1,38.7,,,,41.9032,-87.6235,"(41.9032, -87.6235)"
,,Foster,,,,100839,8/1/08 0:00,34.5,44.1,39,,,,41.9785,-87.6515,"(41.9785, -87.6515)"
1409,7/24/16 12:29,63rd Street,60,99,77.1,,,,,,,,,41.7827,-87.5748,"(41.7827, -87.5748)"
,,Calumet,,,,99583,9/1/07 0:00,51.2,65.7,58,,,,41.7142,-87.5299,"(41.7142, -87.5299)"
7330,6/28/18 0:00,Humboldt,43,42,42.5,,,,,,,,,41.90643,-87.703717,"(41.90643, -87.703717)"
,,South Shore,,,,106696,6/26/14 0:00,3,2,2.4,,,,41.7689,-87.5636,"(41.7689, -87.5636)"
,,Oak Street,,,,97455,8/29/11 0:00,24.3,16.9,20.3,,,,41.9032,-87.6235,"(41.9032, -87.6235)"
,,63rd Street,,,,88751,7/1/10 0:00,127.4,98.7,112.1,,,,41.7827,-87.5748,"(41.7827, -87.5748)"
6906,6/19/18 0:00,12th Street,18,14,15.9,,,,,,,,,41.8638,-87.6083,"(41.8638, -87.6083)"
,,Howard,,,,90488,6/1/11 0:00,13.5,10.8,12.1,,,,42.0188,-87.6663,"(42.0188, -87.6663)"
8428,7/24/18 0:00,63rd Street,1241,1084,1159.8,,,,,,,,,41.7827,-87.5748,"(41.7827, -87.5748)"
,,South Shore,,,,103206,6/1/06 0:00,14.8,12.2,13.4,,,,41.7689,-87.5636,"(41.7689, -87.5636)"
67,7/15/15 0:00,South Shore,438.4,93.2,202,93529,7/15/15 0:00,86,144,111.3,,,,41.7689,-87.5636,"(41.7689, -87.5636)"
,,63rd Street,,,,98931,7/30/07 0:00,613.1,211,359.7,,,,41.7827,-87.5748,"(41.7827, -87.5748)"
,,Montrose,,,,103976,7/5/07 0:00,55.6,36.4,45,,,,41.9655,-87.6385,"(41.9655, -87.6385)"
,,Leone,,,,106449,6/20/12 0:00,2,2,2,,,,42.0131,-87.6635,"(42.0131, -87.6635)"
,,Howard,,,,88765,7/1/10 0:00,11,5.2,7.6,,,,42.0188,-87.6663,"(42.0188, -87.6663)"
,,North Shore,,,,91914,8/18/09 0:00,16,7.2,10.7,,,,42.0027,-87.6564,"(42.0027, -87.6564)"
,,Juneway,,,,101237,8/8/08 0:00,193.5,193.5,193.5,,,,42.0224,-87.6674,"(42.0224, -87.6674)"
,,Rogers,,,,104463,5/31/07 0:00,3,1,1.7,,,,42.0213,-87.6666,"(42.0213, -87.6666)"
,,South Shore,,,,105237,6/6/12 0:00,25.6,21.6,23.5,,,,41.7689,-87.5636,"(41.7689, -87.5636)"
8502,7/25/18 12:26,Howard,139,95,114.9,,,,,,,,,42.0188,-87.6663,"(42.0188, -87.6663)"
2840,6/12/17 0:00,Marion Mahony Griffin (Jarvis),53,44,48.3,,,,,,,,,42.0161,-87.6647,"(42.0161, -87.6647)"
,,North Shore,,,,102921,8/22/06 0:00,101.4,49.6,70.9,,,,42.0027,-87.6564,"(42.0027, -87.6564)"
,,57th Street,,,,101825,8/15/08 0:00,12.1,8.5,10.1,,,,41.7911,-87.5797,"(41.7911, -87.5797)"
1746,8/11/16 12:39,12th Street,33,62,45.2,113778,8/11/16 7:38,51,248,112.5,,1,8/11/16 7:39,41.8638,-87.6083,"(41.8638, -87.6083)"
,,Howard,,,,100968,8/17/07 0:00,27.5,28.8,28.1,,,,42.0188,-87.6663,"(42.0188, -87.6663)"
,,Rainbow,,,,98791,7/24/07 0:00,43.5,102.5,66.8,,,,41.758,-87.551,"(41.758, -87.551)"
,,Ohio Street,,,,91930,8/19/09 0:00,7.3,13.5,9.9,,,,41.8935,-87.6152,"(41.8935, -87.6152)"
,,North Shore,,,,103491,6/29/07 0:00,920.8,727,818.2,,,,42.0027,-87.6564,"(42.0027, -87.6564)"
,,12th Street,,,,98957,7/31/07 0:00,24.1,6.3,12.3,,,,41.8638,-87.6083,"(41.8638, -87.6083)"
,,63rd Street,,,,96353,8/16/11 0:00,18.1,23.1,20.4,,,,41.7827,-87.5748,"(41.7827, -87.5748)"
,,Montrose,,,,107833,7/25/14 0:00,12,6,8.5,,,,41.9655,-87.6385,"(41.9655, -87.6385)"
,,Foster,,,,93889,9/4/14 0:00,16,24,19.6,,,,41.9785,-87.6515,"(41.9785, -87.6515)"
,,Ohio Street,,,,109509,8/17/11 0:00,7.5,5.2,6.2,,,,41.8935,-87.6152,"(41.8935, -87.6152)"
,,Calumet,,,,91205,7/24/09 0:00,93.2,60.9,75.3,,,,41.7142,-87.5299,"(41.7142, -87.5299)"
,,12th Street,,,,95161,8/19/15 0:00,2,9,4.2,,,,41.8638,-87.6083,"(41.8638, -87.6083)"
1408,7/24/16 12:29,Rainbow,39,5,14,,,,,,,,,41.758,-87.551,"(41.758, -87.551)"
,,57th Street,,,,106134,7/25/13 0:00,5,5,5,,,,41.7911,-87.5797,"(41.7911, -87.5797)"
,,Juneway,,,,96283,8/12/11 0:00,2,6.3,3.5,,,,42.0224,-87.6674,"(42.0224, -87.6674)"
8712,7/31/18 11:12,Ohio Street,378,220,288.4,,,,,,,,,41.8935,-87.6152,"(41.8935, -87.6152)"
8387,7/23/18 0:00,57th Street,21,160,58,,,,,,,,,41.7911,-87.5797,"(41.7911, -87.5797)"
,,Ohio Street,,,,89798,8/20/10 0:00,8.6,14.6,11.2,,,,41.8935,-87.6152,"(41.8935, -87.6152)"
,,Howard,,,,112004,8/31/12 0:00,8.5,9.8,9.1,,,,42.0188,-87.6663,"(42.0188, -87.6663)"
,,57th Street,,,,109965,8/5/14 0:00,25,24,24.5,,,,41.7911,-87.5797,"(41.7911, -87.5797)"
,,57th Street,,,,98484,6/21/07 0:00,123.6,163.1,142,,,,41.7911,-87.5797,"(41.7911, -87.5797)"
9486,8/17/18 0:00,63rd Street,369,768,532.3,,,,,,,,,41.7827,-87.5748,"(41.7827, -87.5748)"
5240,8/18/17 0:00,Rainbow,608,219,364.9,,,,,,,,,41.758,-87.551,"(41.758, -87.551)"
,,Montrose Dog,,,,105598,7/1/13 0:00,93,111,101.6,,,,41.96869,-87.642617,"(41.96869, -87.642617)"
,,Foster,,,,92846,6/30/15 0:00,16,20,17.9,,,,41.9785,-87.6515,"(41.9785, -87.6515)"
8245,7/19/18 0:00,Rainbow,58,51,54.4,,,,,,,,,41.758,-87.551,"(41.758, -87.551)"
,,Montrose,,,,97912,7/7/06 0:00,1413.6,2419.6,1849.4,,,,41.9655,-87.6385,"(41.9655, -87.6385)"
,,South Shore,,,,96528,7/14/11 0:00,28.8,54.6,39.7,,,,41.7689,-87.5636,"(41.7689, -87.5636)"
10466,5/28/19 12:16,Rogers,55,110,77.8,,,,,,,,,42.0213,-87.6666,"(42.0213, -87.6666)"
,,Rogers,,,,102674,5/23/06 0:00,26.9,21.3,23.9,,,,42.0213,-87.6666,"(42.0213, -87.6666)"
,,Oakwood,,,,111397,8/22/12 0:00,28.5,18.5,23,,,,41.8211,-87.5976,"(41.8211, -87.5976)"
,,Oak Street,,,,89019,8/13/09 0:00,410.6,248.4,319.4,,,,41.9032,-87.6235,"(41.9032, -87.6235)"
,,North Avenue,,,,88532,7/29/10 0:00,61.7,131.7,90.1,,,,41.9148,-87.6273,"(41.9148, -87.6273)"
587,6/4/16 12:57,North Avenue,3,3,3,,,,,,,,,41.9148,-87.6273,"(41.9148, -87.6273)"
,,Montrose,,,,87626,6/22/10 0:00,238.2,178.2,206,,,,41.9655,-87.6385,"(41.9655, -87.6385)"
2931,6/14/17 0:00,Marion Mahony Griffin (Jarvis),86,67,75.9,,,,,,,,,42.0161,-87.6647,"(42.0161, -87.6647)"
,,North Shore,,,,92522,5/26/09 0:00,16,6.3,10,,,,42.0027,-87.6564,"(42.0027, -87.6564)"
,,Leone,,,,90618,6/7/11 0:00,1,1,1,,,,42.0131,-87.6635,"(42.0131, -87.6635)"
,,Ohio Street,,,,101876,6/2/09 0:00,38.9,39.9,39.4,,,,41.8935,-87.6152,"(41.8935, -87.6152)"
,,Osterman,,,,108466,9/4/15 0:00,687,579,630.7,,,,41.9877,-87.6545,"(41.9877, -87.6545)"
,,Howard,,,,108869,7/29/14 0:00,23,15,18.6,,,,42.0188,-87.6663,"(42.0188, -87.6663)"
,,Montrose Dog,,,,97100,7/26/12 0:00,260.3,137.4,189.1,,,,41.96869,-87.642617,"(41.96869, -87.642617)"
,,Juneway,,,,109274,8/9/13 0:00,10,6,7.7,,,,42.0224,-87.6674,"(42.0224, -87.6674)"
,,Howard,,,,108275,5/23/14 0:00,1,1,1,,,,42.0188,-87.6663,"(42.0188, -87.6663)"
,,Juneway,,,,104284,6/28/06 0:00,6.3,7.4,6.8,,,,42.0224,-87.6674,"(42.0224, -87.6674)"
,,Rogers,,,,87493,6/15/10 0:00,118.7,133.4,125.8,,,,42.0213,-87.6666,"(42.0213, -87.6666)"
,,Foster,,,,88554,7/30/10 0:00,198.9,201.4,200.1,,,,41.9785,-87.6515,"(41.9785, -87.6515)"
,,Oak Street,,,,113064,6/24/16 7:25,10,4,6.3,,1,6/24/16 7:26,41.9032,-87.6235,"(41.9032, -87.6235)"
,,Fargo,,,,112685,5/31/16 10:40,9,3,5.2,,1,5/31/16 10:41,42.0161,-87.6647,"(42.0161, -87.6647)"
,,North Avenue,,,,99266,7/10/07 0:00,107.8,116.2,111.9,,,,41.9148,-87.6273,"(41.9148, -87.6273)"
6621,6/13/18 0:00,Howard,8998,1315,3439.8,,,,,,,,,42.0188,-87.6663,"(42.0188, -87.6663)"
86,8/14/15 0:00,South Shore,290.9,155,212,94938,8/14/15 0:00,129,411,230.3,,,,41.7689,-87.5636,"(41.7689, -87.5636)"
,,Osterman,,,,98803,7/24/07 0:00,12,14.8,13.3,,,,41.9877,-87.6545,"(41.9877, -87.6545)"
6196,6/5/18 11:43,Margaret T Burroughs (31st),443,263,341.3,,,,,,,,,41.8393,-87.6072,"(41.8393, -87.6072)"
,,Leone,,,,92700,8/7/14 0:00,80,77,78.5,,,,42.0131,-87.6635,"(42.0131, -87.6635)"
,,North Shore,,,,101883,6/2/09 0:00,186,148.7,166.3,,,,42.0027,-87.6564,"(42.0027, -87.6564)"
,,Montrose Dog,,,,87366,6/24/15 0:00,71,40,53.3,,,,41.96869,-87.642617,"(41.96869, -87.642617)"
10587,6/1/19 12:03,Leone,51,12,24.7,,,,,,,,,42.0131,-87.6635,"(42.0131, -87.6635)"
,,Oakwood,,,,112404,7/15/13 0:00,194,25,69.6,,,,41.8211,-87.5976,"(41.8211, -87.5976)"
,,North Avenue,,,,106230,7/29/13 0:00,16,38,24.7,,,,41.9148,-87.6273,"(41.9148, -87.6273)"
6264,6/3/18 12:33,Rogers,19723,18146,18918.1,,,,,,,,,42.0213,-87.6666,"(42.0213, -87.6666)"
,,Foster,,,,99849,8/29/08 0:00,218.7,178.9,197.8,,,,41.9785,-87.6515,"(41.9785, -87.6515)"
,,South Shore,,,,111987,8/31/12 0:00,10.9,7.4,9,,,,41.7689,-87.5636,"(41.7689, -87.5636)"
6466,6/10/18 0:00,Rainbow,203,489,315.1,,,,,,,,,41.758,-87.551,"(41.758, -87.551)"
7751,7/8/18 12:11,Foster,344,206,266.2,,,,,,,,,41.9785,-87.6515,"(41.9785, -87.6515)"
,,Oak Street,,,,100524,7/28/08 0:00,2419.6,1553.1,1938.5,,,,41.9032,-87.6235,"(41.9032, -87.6235)"
,,Montrose,,,,88413,7/23/10 0:00,21.1,35.9,27.5,,,,41.9655,-87.6385,"(41.9655, -87.6385)"
,,Rogers,,,,95404,8/25/15 0:00,4,5,4.5,,,,42.0213,-87.6666,"(42.0213, -87.6666)"
,,63rd Street,,,,103183,5/31/06 0:00,1732.9,1553.1,1640.5,,,,41.7827,-87.5748,"(41.7827, -87.5748)"
9550,8/18/18 0:00,Montrose,1089,1650,1340.5,,,,,,,,,41.9655,-87.6385,"(41.9655, -87.6385)"
,,Rogers,,,,96414,7/8/11 0:00,9.7,4.1,6.3,,,,42.0213,-87.6666,"(42.0213, -87.6666)"
,,63rd Street,,,,107203,6/4/14 0:00,816,272,471.1,,,,41.7827,-87.5748,"(41.7827, -87.5748)"
,,Juneway,,,,110000,7/9/12 0:00,70.8,52,60.7,,,,42.0224,-87.6674,"(42.0224, -87.6674)"
,,Rogers,,,,110768,8/10/12 0:00,325.5,365.4,344.9,,,,42.0213,-87.6666,"(42.0213, -87.6666)"
,,Juneway,,,,104487,6/1/07 0:00,6.2,12.2,8.7,,,,42.0224,-87.6674,"(42.0224, -87.6674)"
,,Oak Street,,,,99166,8/9/07 0:00,28.8,35.9,32.2,,,,41.9032,-87.6235,"(41.9032, -87.6235)"
9224,8/10/18 0:00,Rogers,582,767,668.1,,,,,,,,,42.0213,-87.6666,"(42.0213, -87.6666)"
,,Oak Street,,,,105753,8/27/12 0:00,34.5,39.3,36.8,,,,41.9032,-87.6235,"(41.9032, -87.6235)"
7069,6/22/18 0:00,Margaret T Burroughs (31st),4296,8214,5940.3,,,,,,,,,41.8393,-87.6072,"(41.8393, -87.6072)"
,,Rogers,,,,100848,8/1/08 0:00,88.8,83.9,86.3,,,,42.0213,-87.6666,"(42.0213, -87.6666)"
,,Osterman,,,,95864,7/30/15 0:00,36,42,38.9,,,,41.9877,-87.6545,"(41.9877, -87.6545)"
,,Foster,,,,105205,6/4/12 0:00,156.5,20.9,57.2,,,,41.9785,-87.6515,"(41.9785, -87.6515)"
,,Osterman,,,,110893,5/31/12 0:00,68.3,57.3,62.6,,,,41.9877,-87.6545,"(41.9877, -87.6545)"
8608,7/28/18 11:29,Ohio Street,131,35,67.7,,,,,,,,,41.8935,-87.6152,"(41.8935, -87.6152)"
,,63rd Street,,,,88771,7/2/10 0:00,13.5,9.8,11.5,,,,41.7827,-87.5748,"(41.7827, -87.5748)"
6252,6/3/18 12:33,12th Street,436,458,446.9,,,,,,,,,41.8638,-87.6083,"(41.8638, -87.6083)"
4525,7/27/17 0:00,Montrose,770,765,767.5,,,,,,,,,41.9655,-87.6385,"(41.9655, -87.6385)"
10225,9/2/18 11:50,Calumet,81,14,33.7,,,,,,,,,41.7142,-87.5299,"(41.7142, -87.5299)"
,,South Shore,,,,97611,6/15/11 0:00,57.3,131.4,86.8,,,,41.7689,-87.5636,"(41.7689, -87.5636)"
2126,8/27/16 13:00,Montrose,4794,13570,8065.6,,,,,,,,,41.9655,-87.6385,"(41.9655, -87.6385)"
,,63rd Street,,,,107452,7/23/12 0:00,12.1,7.4,9.5,,,,41.7827,-87.5748,"(41.7827, -87.5748)"
,,South Shore,,,,90310,6/30/11 0:00,191.4,116,149,,,,41.7689,-87.5636,"(41.7689, -87.5636)"
,,63rd Street,,,,88077,5/28/10 0:00,727,1046.2,872.1,,,,41.7827,-87.5748,"(41.7827, -87.5748)"
,,Rogers,,,,111835,7/5/13 0:00,1,1,1,,,,42.0213,-87.6666,"(42.0213, -87.6666)"
,,Juneway,,,,88561,7/30/10 0:00,27.2,13.2,18.9,,,,42.0224,-87.6674,"(42.0224, -87.6674)"
4434,7/25/17 0:00,Rogers,1406,1270,1336.3,,,,,,,,,42.0213,-87.6666,"(42.0213, -87.6666)"
,,Rogers,,,,91568,6/29/09 0:00,13.4,10.9,12.1,,,,42.0213,-87.6666,"(42.0213, -87.6666)"
,,Rainbow,,,,99021,8/3/07 0:00,770.1,770.1,770.1,,,,41.758,-87.551,"(41.758, -87.551)"
5888,9/3/17 0:00,Montrose,75,207,124.6,,,,,,,,,41.9655,-87.6385,"(41.9655, -87.6385)"
,,Oakwood,,,,113888,8/18/16 7:19,18,9,12.7,,1,8/18/16 7:20,41.8211,-87.5976,"(41.8211, -87.5976)"
1103,7/6/16 12:30,Rainbow,214,227,220.4,113204,7/6/16 8:00,501,770,621.1,,5,7/6/16 8:05,41.758,-87.551,"(41.758, -87.551)"
,,Osterman,,,,89583,8/9/10 0:00,24.3,25.9,25.1,,,,41.9877,-87.6545,"(41.9877, -87.6545)"
,,Montrose Dog,,,,105664,8/23/12 0:00,65.7,47.9,56.1,,,,41.96869,-87.642617,"(41.96869, -87.642617)"
2484,6/3/17 12:12,Humboldt,213,420,299.1,,,,,,,,,41.90643,-87.703717,"(41.90643, -87.703717)"
,,North Avenue,,,,109466,8/23/13 0:00,62,47,54,,,,41.9148,-87.6273,"(41.9148, -87.6273)"
,,Oak Street,,,,104073,6/8/06 0:00,1,1,1,,,,41.9032,-87.6235,"(41.9032, -87.6235)"
,,Oak Street,,,,113022,6/22/16 7:25,4,5,4.5,,1,6/22/16 7:26,41.9032,-87.6235,"(41.9032, -87.6235)"
2445,6/1/17 12:37,Ohio Street,14,3,6.5,,,,,,,,,41.8935,-87.6152,"(41.8935, -87.6152)"
,,Rainbow,,,,103870,9/1/06 0:00,133.3,119.1,126,,,,41.758,-87.551,"(41.758, -87.551)"
2716,6/11/17 0:00,Oakwood,79,64,71.1,,,,,,,,,41.8211,-87.5976,"(41.8211, -87.5976)"
,,Rainbow,,,,99464,7/19/07 0:00,153.9,228.2,187.4,,,,41.758,-87.551,"(41.758, -87.551)"
,,Foster,,,,87547,6/18/10 0:00,125.9,127.4,126.6,,,,41.9785,-87.6515,"(41.9785, -87.6515)"
,,57th Street,,,,90334,7/1/11 0:00,28.5,118.7,58.2,,,,41.7911,-87.5797,"(41.7911, -87.5797)"
,,12th Street,,,,92712,8/8/14 0:00,1300,1300,1300,,,,41.8638,-87.6083,"(41.8638, -87.6083)"
,,Rogers,,,,113725,8/8/16 9:55,27,22,24.4,,1,8/8/16 9:56,42.0213,-87.6666,"(42.0213, -87.6666)"
,,12th Street,,,,90798,7/16/10 0:00,1,7.5,2.7,,,,41.8638,-87.6083,"(41.8638, -87.6083)"
,,Osterman,,,,91057,7/17/09 0:00,579.4,378.4,468.2,,,,41.9877,-87.6545,"(41.9877, -87.6545)"
,,63rd Street,,,,106391,6/18/12 0:00,19.9,22.8,21.3,,,,41.7827,-87.5748,"(41.7827, -87.5748)"
,,Montrose Dog,,,,93496,7/13/15 0:00,2420,2420,2420,,,,41.96869,-87.642617,"(41.96869, -87.642617)"
,,57th Street,,,,110071,7/13/12 0:00,16.1,19.5,17.7,,,,41.7911,-87.5797,"(41.7911, -87.5797)"
,,Ohio Street,,,,105155,6/2/12 0:00,3,5.2,3.9,,,,41.8935,-87.6152,"(41.8935, -87.6152)"
,,Calumet,,,,111510,6/12/12 0:00,1986.3,1553.1,1756.4,,,,41.7142,-87.5299,"(41.7142, -87.5299)"
,,North Avenue,,,,102523,8/26/08 0:00,21.6,42,30.1,,,,41.9148,-87.6273,"(41.9148, -87.6273)"
,,Juneway,,,,112367,6/16/14 0:00,1,1,1,,,,42.0224,-87.6674,"(42.0224, -87.6674)"
,,Foster,,,,95398,8/25/15 0:00,58,44,50.5,,,,41.9785,-87.6515,"(41.9785, -87.6515)"
6347,6/6/18 11:37,57th Street,52,119,78.7,,,,,,,,,41.7911,-87.5797,"(41.7911, -87.5797)"
,,South Shore,,,,101695,8/29/07 0:00,113.7,72.7,90.9,,,,41.7689,-87.5636,"(41.7689, -87.5636)"
1072,7/2/16 13:06,63rd Street,48,45,46.5,,,,,,,,,41.7827,-87.5748,"(41.7827, -87.5748)"
,,Foster,,,,100205,7/24/08 0:00,14.2,25.9,19.2,,,,41.9785,-87.6515,"(41.9785, -87.6515)"
4826,8/6/17 0:00,South Shore,163,244,199.4,,,,,,,,,41.7689,-87.5636,"(41.7689, -87.5636)"
10159,9/1/18 0:00,Ohio Street,11,13,12,,,,,,,,,41.8935,-87.6152,"(41.8935, -87.6152)"
,,63rd Street,,,,104468,6/1/07 0:00,235.9,307.5,269.3,,,,41.7827,-87.5748,"(41.7827, -87.5748)"
,,Rainbow,,,,108539,9/8/15 0:00,14,16,15,,,,41.758,-87.551,"(41.758, -87.551)"
,,South Shore,,,,92814,6/29/15 0:00,9,10,9.5,,,,41.7689,-87.5636,"(41.7689, -87.5636)"
,,12th Street,,,,107982,8/16/13 0:00,19,21,20,,,,41.8638,-87.6083,"(41.8638, -87.6083)"
,,Calumet,,,,91409,6/23/09 0:00,344.8,435.2,387.4,,,,41.7142,-87.5299,"(41.7142, -87.5299)"
,,Montrose,,,,93866,9/3/14 0:00,365,122,211,,,,41.9655,-87.6385,"(41.9655, -87.6385)"
3950,7/11/17 0:00,Humboldt,4411,4649,4528.4,,,,,,,,,41.90643,-87.703717,"(41.90643, -87.703717)"
,,Rogers,,,,98549,6/8/07 0:00,1,7.3,2.7,,,,42.0213,-87.6666,"(42.0213, -87.6666)"
,,Oak Street,,,,89149,6/11/10 0:00,7.5,6.3,6.9,,,,41.9032,-87.6235,"(41.9032, -87.6235)"
,,Foster,,,,109357,8/13/13 0:00,770,525,635.8,,,,41.9785,-87.6515,"(41.9785, -87.6515)"
7929,7/12/18 11:47,Oak Street,142,40,75.4,,,,,,,,,41.9032,-87.6235,"(41.9032, -87.6235)"
,,Calumet,,,,114020,8/29/16 9:00,84,126,102.9,,2,8/29/16 9:02,41.7142,-87.5299,"(41.7142, -87.5299)"
,,12th Street,,,,100478,7/21/08 0:00,1732.9,21.1,191.2,,,,41.8638,-87.6083,"(41.8638, -87.6083)"
,,Juneway,,,,113420,7/19/16 9:00,4,4,4,,1,7/19/16 9:01,42.0224,-87.6674,"(42.0224, -87.6674)"
,,Rainbow,,,,95490,7/17/14 0:00,13,21,16.5,,,,41.758,-87.551,"(41.758, -87.551)"
4426,7/25/17 0:00,South Shore,612,520,564.1,,,,,,,,,41.7689,-87.5636,"(41.7689, -87.5636)"
,,Osterman,,,,96123,8/5/11 0:00,44.6,71.7,56.5,,,,41.9877,-87.6545,"(41.9877, -87.6545)"
,,Howard,,,,112526,8/3/12 0:00,12.8,14.8,13.8,,,,42.0188,-87.6663,"(42.0188, -87.6663)"
,,Ohio Street,,,,92275,9/3/09 0:00,20.3,32.7,25.8,,,,41.8935,-87.6152,"(41.8935, -87.6152)"
4252,7/18/17 0:00,Leone,221,291,253.6,,,,,,,,,42.0131,-87.6635,"(42.0131, -87.6635)"
5806,9/1/17 0:00,Margaret T Burroughs (31st),669,1995,1155.3,,,,,,,,,41.8393,-87.6072,"(41.8393, -87.6072)"
,,Calumet,,,,88174,6/2/10 0:00,16.1,44.1,26.6,,,,41.7142,-87.5299,"(41.7142, -87.5299)"
,,North Avenue,,,,98195,6/8/07 0:00,1,2,1.4,,,,41.9148,-87.6273,"(41.9148, -87.6273)"
,,South Shore,,,,100585,7/31/08 0:00,12.1,23.1,16.7,,,,41.7689,-87.5636,"(41.7689, -87.5636)"
,,57th Street,,,,89754,8/18/10 0:00,55.4,87.6,69.7,,,,41.7911,-87.5797,"(41.7911, -87.5797)"
,,Montrose Dog,,,,110504,7/10/13 0:00,579,219,356.1,,,,41.96869,-87.642617,"(41.96869, -87.642617)"
9827,8/24/18 0:00,63rd Street,244,104,159.3,,,,,,,,,41.7827,-87.5748,"(41.7827, -87.5748)"
,,Howard,,,,113309,7/12/16 10:40,2,1,1.4,,1,7/12/16 10:41,42.0188,-87.6663,"(42.0188, -87.6663)"
,,Foster,,,,91332,7/29/09 0:00,547.5,344.8,434.5,,,,41.9785,-87.6515,"(41.9785, -87.6515)"
,,South Shore,,,,104537,6/13/06 0:00,1,1,1,,,,41.7689,-87.5636,"(41.7689, -87.5636)"
,,Lane,,,,91357,7/30/09 0:00,13.4,25.6,18.5,,,,41.9877,-87.6545,"(41.9877, -87.6545)"
,,North Avenue,,,,91603,7/1/09 0:00,17.3,22.6,19.8,,,,41.9148,-87.6273,"(41.9148, -87.6273)"
,,Leone,,,,92656,8/5/14 0:00,48,32,39.2,,,,42.0131,-87.6635,"(42.0131, -87.6635)"
,,North Avenue,,,,111084,6/13/13 0:00,16,16,16,,,,41.9148,-87.6273,"(41.9148, -87.6273)"
5244,8/18/17 0:00,North Avenue,442,241,326.4,,,,,,,,,41.9148,-87.6273,"(41.9148, -87.6273)"
,,Ohio Street,,,,105199,6/4/12 0:00,1299.7,123.4,400.5,,,,41.8935,-87.6152,"(41.8935, -87.6152)"
,,Montrose,,,,90299,6/29/11 0:00,101,27.2,52.4,,,,41.9655,-87.6385,"(41.9655, -87.6385)"
,,57th Street,,,,113909,8/19/16 8:50,135,261,187.7,,1,8/19/16 8:51,41.7911,-87.5797,"(41.7911, -87.5797)"
,,Foster,,,,99314,7/12/07 0:00,19.5,23.8,21.5,,,,41.9785,-87.6515,"(41.9785, -87.6515)"
,,Howard,,,,113010,6/21/16 11:10,7,4,5.3,,1,6/21/16 11:11,42.0188,-87.6663,"(42.0188, -87.6663)"
3329,6/26/17 0:00,North Avenue,16,96,39.2,,,,,,,,,41.9148,-87.6273,"(41.9148, -87.6273)"
6670,6/14/18 11:47,Oak Street,323,289,305.5,,,,,,,,,41.9032,-87.6235,"(41.9032, -87.6235)"
,,Montrose,,,,94341,9/16/15 0:00,35,35,35,,,,41.9655,-87.6385,"(41.9655, -87.6385)"
,,Calumet,,,,106109,7/24/13 0:00,34,47,40,,,,41.7142,-87.5299,"(41.7142, -87.5299)"
,,Osterman,,,,102835,7/24/06 0:00,44.1,44.8,44.4,,,,41.9877,-87.6545,"(41.9877, -87.6545)"
,,63rd Street,,,,112672,5/31/16 8:55,91,140,112.9,,5,5/31/16 9:00,41.7827,-87.5748,"(41.7827, -87.5748)"
,,Lane,,,,102589,6/8/09 0:00,54.6,35.5,44,,,,41.9877,-87.6545,"(41.9877, -87.6545)"
,,57th Street,,,,109758,8/18/11 0:00,980.4,613.1,775.3,,,,41.7911,-87.5797,"(41.7911, -87.5797)"
,,Howard,,,,88905,7/8/10 0:00,118.7,90.9,103.9,,,,42.0188,-87.6663,"(42.0188, -87.6663)"
,,57th Street,,,,112373,6/17/14 0:00,172,140,155.2,,,,41.7911,-87.5797,"(41.7911, -87.5797)"
,,North Avenue,,,,112981,6/20/16 0:05,19,50,30.8,,1,6/20/16 0:06,41.9148,-87.6273,"(41.9148, -87.6273)"
,,57th Street,,,,93760,7/20/15 0:00,4,8,5.7,,,,41.7911,-87.5797,"(41.7911, -87.5797)"
,,Montrose Dog,,,,107788,7/23/14 0:00,2420,2420,2420,,,,41.96869,-87.642617,"(41.96869, -87.642617)"
,,Oakwood,,,,107674,5/29/13 0:00,40.8,42.8,41.8,,,,41.8211,-87.5976,"(41.8211, -87.5976)"
,,Leone,,,,112747,6/3/16 10:30,3,3,3,,1,6/3/16 10:31,42.0131,-87.6635,"(42.0131, -87.6635)"
,,Foster,,,,90681,6/10/11 0:00,228.2,198.9,213,,,,41.9785,-87.6515,"(41.9785, -87.6515)"
9831,8/24/18 0:00,Foster,104,117,110.3,,,,,,,,,41.9785,-87.6515,"(41.9785, -87.6515)"
,,Montrose Dog,,,,90188,6/24/11 0:00,8.5,3,5,,,,41.96869,-87.642617,"(41.96869, -87.642617)"
,,Montrose,,,,101066,6/20/08 0:00,7.5,5.2,6.2,,,,41.9655,-87.6385,"(41.9655, -87.6385)"
947,6/24/16 11:43,63rd Street,22,27,24.4,113058,6/24/16 7:20,36,34,35,,5,6/24/16 7:25,41.7827,-87.5748,"(41.7827, -87.5748)"
,,Lane,,,,103594,6/2/06 0:00,9.7,11.9,10.7,,,,41.9877,-87.6545,"(41.9877, -87.6545)"
,,Ohio Street,,,,96248,8/11/11 0:00,2,5.2,3.2,,,,41.8935,-87.6152,"(41.8935, -87.6152)"
,,Rainbow,,,,102645,6/11/09 0:00,1732.9,1299.7,1500.7,,,,41.758,-87.551,"(41.758, -87.551)"
